"site_code","Site","Date","Turbidity","TSS","ChlA","TOC","TN","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4","Field_DO_mgL","Field_Cond_µS_cm","Field_Temp_C","Lat","Long","Campaign","watershed","location_type","WQ_sensor","flow_gauge_source","flow_gauge_id","distance_upstream_km","Watershed_Level","Buffer_Level","FCW_number","ROSS_number","chla_volume_ml","Year","time_mst","DT_mst_char","data_source"
"CBRR","Chambers Reservoir",2021-09-01,5,0.7,2.6,,,6.55,0.26,7.02,341.2,43.21,1.55,0.06,0.92,1,5.51,0.07,0.45,0.04,0,3.54,,,,40.603457,-105.845931,"Chambers Complex","Chambers Reservoir","Reservoir",,,"na",87.814,0.19135067209931075,0.3299053356282272,995,,,2021,,,"ROSS"
"CHD","Chambers Outflow",2021-09-01,3,1.21,1.11,,,6.49,0.24,7.02,355.4,44.31,1.59,0.04,0.94,1.07,5.4,0.04,0.54,0.06,0,3.41,,,,40.60233229,-105.8427286,"Chambers Complex","Chambers Reservoir","Outflow","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,996,,,2021,,,"ROSS"
"PTRR","Peterson Reservoir",2021-09-08,9.8,2,1.59,,,7.14,0.46,6.8,186.51,37.03,1.68,0.04,1.31,0.44,3.85,0.03,1.02,0.08,0,7.63,,,,40.55936515,-105.7940034,"Longdraw","Peterson Reservoir","Reservoir",,,,91.236,0.3055062638172439,0.32090379008746356,1000,,,2021,,,"ROSS"
"JOEI","Joe Wright Inlet",2021-09-08,3,,0.14,,,4.1,0.18,7.09,647.17,68.14,2.67,0.01,0.62,1.23,7.38,0.12,1.39,0.22,0,4.11,,,,40.54013102,-105.8831698,"Chambers Complex","Joe Wright Reservoir","Inflow","ROSS","USGS","6746095",95.264,0,0.006530548628428928,1002,,,2021,,,"ROSS"
"JOER","Joe Wright Reservoir",2021-09-08,3.5,1.2,1.21,,,4.57,0.19,6.97,373.4,50.97,1.49,0,0.64,1.36,7.02,0.11,0.48,0.03,0,3.91,,,,40.55593744,-105.8749619,"Chambers Complex","Joe Wright Reservoir","Reservoir",,,,93.218,0.048734263332836585,0.006530548628428928,1003,,,2021,,,"ROSS"
"CBRI","Chambers Inlet",2021-09-08,3.4,,0.37,,,4.34,0.23,6.99,441.15,53.77,2.12,0.01,0.89,1.29,7.52,0.08,0.7,0.1,0,2.92,,,,40.57795281,-105.8572773,"Chambers Complex","Chambers Reservoir","Inflow","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,1004,,,2021,,,"ROSS"
"BMD","Barnes Meadow Outflow",2021-09-08,14,,4.82,,,7.85,0.6,6.86,408.09,62.84,2.5,0.33,1.09,1.18,6.37,0.03,1.7,0.09,0,8.57,,,,40.600376,-105.836378,"Chambers Complex","Barnes Meadow Reservoir","Outflow",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,1005,,,2021,,,"ROSS"
"BRNR","Barnes Meadow Reservoir",2021-09-08,8,,2.36,,,11.86,0.42,6.98,425.66,72.15,2.61,0.3,1.29,1.06,9.74,0.04,1.67,0.08,0.09,8.59,,,,40.599908,-105.830604,"Chambers Complex","Barnes Meadow Reservoir","Reservoir",,,,85.149,0.4490768485927012,0.1845300397739167,1006,,,2021,,,"ROSS"
"CBRR","Chambers Reservoir",2021-09-08,5.1,1000.3,0.98,,,6.65,0.2,6.98,382.51,61.43,1.66,0.01,1.31,1.64,10.32,0.06,1.7,0.03,0,3.4,,,,40.603457,-105.845931,"Chambers Complex","Chambers Reservoir","Reservoir",,,"na",87.814,0.19135067209931075,0.3299053356282272,1007,,,2021,,,"ROSS"
"CHD","Chambers Outflow",2021-09-08,5.6,,1.38,,,5.59,0.19,6.93,402.33,45.38,1.61,0.01,0.88,1.19,5.18,0.03,0.57,0.11,0,3.25,,,,40.60233229,-105.8427286,"Chambers Complex","Chambers Reservoir","Outflow","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,1008,,,2021,,,"ROSS"
"LNGR","Long Draw Reservoir",2021-09-08,6,0.6,1.07,,,5.37,0.3,6.96,273.78,43.22,1.09,0.03,0.58,0.92,5.04,0.28,0.17,0.47,0,8.58,,,,40.50087627,-105.7725307,"Longdraw","Long Draw Reservoir","Reservoir",,,,100.445,0,0,997,,,2021,,,"ROSS"
"LNGO","Long Draw Outflow",2021-09-08,7,2.65,1.2,,,4.38,0.29,6.93,296.38,51.7,1.1,0.04,0.58,0.9,6.92,0.27,0.16,0.46,0,8.52,,,,40.50368571,-105.7709459,"Longdraw","Long Draw Reservoir","Outflow",,"CDWR","LAPLODCO",98.705,0,0,998,,,2021,,,"ROSS"
"PTRO","Peterson Outflow",2021-09-08,10,2.06,1.98,,,5.66,0.35,6.88,289.65,39.54,2.16,0.03,1.28,0.48,4.45,0.03,1.13,0.11,0,4.65,,,,40.56063874,-105.7929021,"Longdraw","Peterson Reservoir","Outflow",,"Greeley",,91.236,0.3055062638172439,0.32090379008746356,999,,,2021,,,"ROSS"
"LNGR","Long Draw Reservoir",2021-09-15,5.2,1.73,1.49,,,4.56,0.3,7.03,294.03,48.97,1.23,0.05,0.68,0.84,5.54,0.27,0.18,0.42,0,8.8,,,,40.50087627,-105.7725307,"Longdraw","Long Draw Reservoir","Reservoir",,,,100.445,0,0,1045,,,2021,,,"ROSS"
"LNGO","Long Draw Outflow",2021-09-15,6.7,1.49,1.8,,,3.89,0.24,7.05,292.56,49.26,1.17,0.03,0.66,0.85,6.03,0.27,0.18,0.39,0,8.76,,,,40.50368571,-105.7709459,"Longdraw","Long Draw Reservoir","Outflow",,"CDWR","LAPLODCO",98.705,0,0,1046,,,2021,,,"ROSS"
"PTRO","Peterson Outflow",2021-09-15,13.5,5.96,1.64,,,4.21,0.31,7.18,338.97,47.43,2.52,0.13,1.45,0.55,4.72,0.05,1.17,0.16,0,4.23,,,,40.56063874,-105.7929021,"Longdraw","Peterson Reservoir","Outflow",,"Greeley",,91.236,0.3055062638172439,0.32090379008746356,1047,,,2021,,,"ROSS"
"PTRR","Peterson Reservoir",2021-09-15,9,5.34,1.03,,,4.81,0.43,6.95,200.06,39.13,1.86,0.13,1.45,0.56,3.2,0.03,1.16,0.12,0,7.91,,,,40.55936515,-105.7940034,"Longdraw","Peterson Reservoir","Reservoir",,,,91.236,0.3055062638172439,0.32090379008746356,1048,,,2021,,,"ROSS"
"JOEI","Joe Wright Inlet",2021-09-15,2.5,0.6,0.16,,,4,0.12,7.63,644.45,71.18,3.24,0.01,0.75,1.69,7.01,0.1,1.98,0.16,0,3.36,,,,40.54013102,-105.8831698,"Chambers Complex","Joe Wright Reservoir","Inflow","ROSS","USGS","6746095",95.264,0,0.006530548628428928,1049,,,2021,,,"ROSS"
"JOER","Joe Wright Reservoir",2021-09-15,4.1,0.2,1.75,,,3.27,0.16,7.16,370.39,52.16,1.57,0.05,0.74,1.53,7,0.1,0.52,0.04,0,3.98,,,,40.55593744,-105.8749619,"Chambers Complex","Joe Wright Reservoir","Reservoir",,,,93.218,0.048734263332836585,0.006530548628428928,1050,,,2021,,,"ROSS"
"CBRI","Chambers Inlet",2021-09-15,5.5,1.93,0.58,,,4.51,0.21,7.15,345.49,48.1,1.58,0.01,0.76,1.4,6.45,0.08,0.64,0.22,0,3.37,,,,40.57795281,-105.8572773,"Chambers Complex","Chambers Reservoir","Inflow","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,1051,,,2021,,,"ROSS"
"BMD","Barnes Meadow Outflow",2021-09-15,10,5.8,1.16,,,6.53,0.58,7.05,407.25,64.67,2.53,0.38,1.44,1.17,6.64,0.05,1.69,0.17,0,7.93,,,,40.600376,-105.836378,"Chambers Complex","Barnes Meadow Reservoir","Outflow",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,1053,,,2021,,,"ROSS"
"BRNR","Barnes Meadow Reservoir",2021-09-15,5.4,6.12,3.2,,,6.29,0.31,7.27,457.45,73.96,2.62,0,1.39,1.08,9,0.06,1.72,0.01,0,11.09,,,,40.599908,-105.830604,"Chambers Complex","Barnes Meadow Reservoir","Reservoir",,,,85.149,0.4490768485927012,0.1845300397739167,1054,,,2021,,,"ROSS"
"CBRR","Chambers Reservoir",2021-09-15,5.8,1.12,1.08,,,5.66,0.2,7.24,379.9,42.71,1.72,0.04,0.93,1.01,4.2,0.07,0.87,0.1,0,3.32,,,,40.603457,-105.845931,"Chambers Complex","Chambers Reservoir","Reservoir",,,"na",87.814,0.19135067209931075,0.3299053356282272,1055,,,2021,,,"ROSS"
"CHD","Chambers Outflow",2021-09-15,3.8,,1.37,,,4.55,0.2,7.27,411.76,52.83,1.73,0,0.95,1.08,5.47,0.07,0.59,0.07,0,3.3,,,,40.60233229,-105.8427286,"Chambers Complex","Chambers Reservoir","Outflow","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,1056,,,2021,,,"ROSS"
"COMI","Comanche Inflow",2021-09-21,2.1,0.38,0.17,,,2.34,0.19,6.95,211.21,28.83,2.06,0.02,0.38,0.61,3.14,0.02,0.4,0.49,0,1.96,,,,40.5858963,-105.6626,"South Fork","Comanche Reservoir","Inflow",,,,72.236,0.173174601127291,0.45576441102756887,1063,,,2021,,,"ROSS"
"COMR","Comanche Reservoir",2021-09-21,10.1,2.5,0.68,,,1.96,0.17,7.32,376.72,35.7,2.34,0.02,0.47,0.46,2.56,0.03,0.46,0.15,0,2.47,,,,40.5853086,-105.6455009,"South Fork","Comanche Reservoir","Reservoir",,,,70.774,0.24966832476956524,0.45576441102756887,1064,,,2021,,,"ROSS"
"HORI","Hourglass Inflow",2021-09-21,2.1,0.1,0.18,,,1.04,0.26,6.57,142.36,19.34,1.51,0.03,0.36,0.33,1.65,0.02,0.25,0.6,0,1.48,,,,40.5805091,-105.6409321,"South Fork","Hourglass Reservoir","Inflow",,"Greeley",,61.499,0.05085114281168797,0.40096867936712954,1065,,,2021,,,"ROSS"
"COMO","Comanche Outflow",2021-09-21,10,4.9,2.68,,,2.45,0.24,6.74,253.07,35.43,2.32,0.01,0.49,0.64,3.95,0.03,0.45,0.21,0,2.36,,,,40.5846048,-105.6440011,"South Fork","Comanche Reservoir","Outflow",,"Greeley",,61.499,0.24966832476956524,0.45576441102756887,1066,,,2021,,,"ROSS"
"HORR","Hourglass Reservoir",2021-09-21,3.5,0.58,3.02,,,1.51,0.16,6.57,160.61,19.82,1.38,0.01,0.38,0.27,1.64,0.04,0.21,0.13,0,1.62,,,,40.582032,-105.6314023,"South Fork","Hourglass Reservoir","Reservoir",,,,61.499,0.10162730589431843,0.40096867936712954,1067,,,2021,,,"ROSS"
"HORO","Hourglass Outflow",2021-09-21,3.1,2.5,2.69,,,0.99,0.16,6.59,164.89,19.83,1.37,0.04,0.39,0.38,1.85,0.04,0.22,0.15,0,1.64,,,,40.5828742,-105.6309523,"South Fork","Hourglass Reservoir","Outflow",,"Greeley",,61.499,0.10162730589431843,0.40096867936712954,1068,,,2021,,,"ROSS"
"LNGR","Long Draw Reservoir",2021-09-22,5.5,,2.27,,,4.31,0.28,6.97,309.51,48.47,1.21,0.03,0.65,0.9,5.66,0.27,0.17,0.31,0,8.41,,,,40.50087627,-105.7725307,"Longdraw","Long Draw Reservoir","Reservoir",,,,100.445,0,0,1085,,,2021,,,"ROSS"
"LNGO","Long Draw Outflow",2021-09-22,6,,2.57,,,3.77,0.23,6.96,309.08,49.74,1.23,0.06,0.64,0.87,6.41,0.27,0.18,0.3,0,8.44,,,,40.50368571,-105.7709459,"Longdraw","Long Draw Reservoir","Outflow",,"CDWR","LAPLODCO",98.705,0,0,1086,,,2021,,,"ROSS"
"PTRO","Peterson Outflow",2021-09-22,10.5,,3.55,,,4.06,0.32,7.04,338.97,42.77,2.6,0.06,1.41,0.47,3.68,0.06,1.33,0.13,0,3.75,,,,40.56063874,-105.7929021,"Longdraw","Peterson Reservoir","Outflow",,"Greeley",,91.236,0.3055062638172439,0.32090379008746356,1088,,,2021,,,"ROSS"
"PTRR","Peterson Reservoir",2021-09-22,7.4,,1.12,,,4.73,0.52,6.8,200.15,37.59,1.79,0.13,1.43,0.52,3.12,0.03,1.07,0.12,0,7.84,,,,40.55936515,-105.7940034,"Longdraw","Peterson Reservoir","Reservoir",,,,91.236,0.3055062638172439,0.32090379008746356,1089,,,2021,,,"ROSS"
"JOEI","Joe Wright Inlet",2021-09-22,2.3,,0.1,,,4.05,0.13,7.33,691.02,71.48,3.34,0.02,0.66,1.65,6.98,0.09,2.12,0.2,0,3.22,,,,40.54013102,-105.8831698,"Chambers Complex","Joe Wright Reservoir","Inflow","ROSS","USGS","6746095",95.264,0,0.006530548628428928,1090,,,2021,,,"ROSS"
"JOER","Joe Wright Reservoir",2021-09-22,2.8,,1.77,,,3.34,0.15,7.05,355.97,49.47,1.55,0.01,0.67,1.45,7.06,0.1,0.51,0.06,0,3.99,,,,40.55593744,-105.8749619,"Chambers Complex","Joe Wright Reservoir","Reservoir",,,,93.218,0.048734263332836585,0.006530548628428928,1091,,,2021,,,"ROSS"
"CBRI","Chambers Inlet",2021-09-22,4,,0.92,,,4.61,0.2,7.02,334.98,46.96,1.58,0.01,0.71,1.33,6.56,0.08,0.63,0.21,0,3.38,,,,40.57795281,-105.8572773,"Chambers Complex","Chambers Reservoir","Inflow","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,1092,,,2021,,,"ROSS"
"BMD","Barnes Meadow Outflow",2021-09-22,6.6,,0.96,,,6.96,0.57,7,317.14,51.09,2.39,0.34,1.18,1.09,4.31,0.07,1.91,0.06,0,6.53,,,,40.600376,-105.836378,"Chambers Complex","Barnes Meadow Reservoir","Outflow",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,1093,,,2021,,,"ROSS"
"BRNR","Barnes Meadow Reservoir",2021-09-22,4,,3.47,,,7.6,0.3,7.12,440.88,75.08,2.52,0.02,1.26,1.1,8.82,0.05,1.82,0,0,11.06,,,,40.599908,-105.830604,"Chambers Complex","Barnes Meadow Reservoir","Reservoir",,,,85.149,0.4490768485927012,0.1845300397739167,1094,,,2021,,,"ROSS"
"CBRR","Chambers Reservoir",2021-09-22,3.6,,0.91,,,5.51,0.18,7.13,393.6,43.34,1.6,0.02,0.83,0.99,4.04,0.07,0.63,0.04,0,3.48,,,,40.603457,-105.845931,"Chambers Complex","Chambers Reservoir","Reservoir",,,"na",87.814,0.19135067209931075,0.3299053356282272,1095,,,2021,,,"ROSS"
"CHD","Chambers Outflow",2021-09-22,3.5,,1.47,,,4.31,0.18,7.07,386.35,43.05,1.62,0.06,0.84,1,5.21,0.07,0.64,0,0,3.63,,,,40.60233229,-105.8427286,"Chambers Complex","Chambers Reservoir","Outflow","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,1096,,,2021,,,"ROSS"
"LNGR","Long Draw Reservoir",2021-09-28,5.9,,1.69,,,4.29,0.3,6.97,293.01,45.88,1.15,0.06,0.61,0.9,5.12,0.29,0.24,0.2,0,8.32,,,,40.50087627,-105.7725307,"Longdraw","Long Draw Reservoir","Reservoir",,,,100.445,0,0,1097,,,2021,,,"ROSS"
"LNGO","Long Draw Outflow",2021-09-28,10.6,,1.97,,,3.55,0.19,7,311.06,46.46,1.13,0.05,0.61,0.83,5.7,0.29,0.21,0.19,0,8.39,,,,40.50368571,-105.7709459,"Longdraw","Long Draw Reservoir","Outflow",,"CDWR","LAPLODCO",98.705,0,0,1098,,,2021,,,"ROSS"
"PTRO","Peterson Outflow",2021-09-28,11.5,,3.25,,,4.06,0.31,7.12,335.4,42.07,2.6,0.09,1.3,0.47,3.53,0.05,1.33,0.02,0.03,3.79,,,,40.56063874,-105.7929021,"Longdraw","Peterson Reservoir","Outflow",,"Greeley",,91.236,0.3055062638172439,0.32090379008746356,1099,,,2021,,,"ROSS"
"PTRR","Peterson Reservoir",2021-09-28,9.3,,0.8,,,5.22,0.49,6.77,181.45,39.35,1.68,0.13,1.33,0.53,3.95,0.05,1.05,0.09,0,7.93,,,,40.55936515,-105.7940034,"Longdraw","Peterson Reservoir","Reservoir",,,,91.236,0.3055062638172439,0.32090379008746356,1100,,,2021,,,"ROSS"
"JOEI","Joe Wright Inlet",2021-09-28,2,,0.5,,,3.89,0.14,7.49,713.06,68.41,3.64,0.03,0.62,1.49,6.14,0.1,1.97,0.1,0,2.76,,,,40.54013102,-105.8831698,"Chambers Complex","Joe Wright Reservoir","Inflow","ROSS","USGS","6746095",95.264,0,0.006530548628428928,1101,,,2021,,,"ROSS"
"JOER","Joe Wright Reservoir",2021-09-28,2.5,,1.45,,,3.51,0.15,6.98,361.96,50.49,1.43,0.02,0.64,1.41,6.93,0.1,0.51,0.01,0,3.85,,,,40.55593744,-105.8749619,"Chambers Complex","Joe Wright Reservoir","Reservoir",,,,93.218,0.048734263332836585,0.006530548628428928,1103,,,2021,,,"ROSS"
"CBRI","Chambers Inlet",2021-09-28,3.6,,1.18,,,4.33,0.18,6.98,343.68,48.86,1.46,0.03,0.68,1.34,6.72,0.08,0.58,0.15,0,3.36,,,,40.57795281,-105.8572773,"Chambers Complex","Chambers Reservoir","Inflow","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,1104,,,2021,,,"ROSS"
"BMD","Barnes Meadow Outflow",2021-09-28,9.3,,2.05,,,6.11,0.6,7.03,349.87,56.95,2.4,0.28,1.29,1.07,5.01,0.05,1.74,0.04,0,7.73,,,,40.600376,-105.836378,"Chambers Complex","Barnes Meadow Reservoir","Outflow",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,1105,,,2021,,,"ROSS"
"BRNR","Barnes Meadow Reservoir",2021-09-28,3.2,,3.1,,,7.33,0.3,7.18,457.34,68.84,2.65,0.02,1.32,1.01,8.11,0.05,1.95,0.02,0,11.2,,,,40.599908,-105.830604,"Chambers Complex","Barnes Meadow Reservoir","Reservoir",,,,85.149,0.4490768485927012,0.1845300397739167,1106,,,2021,,,"ROSS"
"CBRR","Chambers Reservoir",2021-09-28,5,,0.72,,,5.22,0.17,7.08,391.67,43.46,1.57,0.04,0.83,0.93,4.43,0.07,0.61,0.01,0,3.58,,,,40.603457,-105.845931,"Chambers Complex","Chambers Reservoir","Reservoir",,,"na",87.814,0.19135067209931075,0.3299053356282272,1107,,,2021,,,"ROSS"
"CHD","Chambers Outflow",2021-09-28,3.1,,1.15,,,4.22,0.19,7.02,402.75,42.77,1.6,0.03,0.85,0.95,4.46,0.07,0.61,0.02,0,3.61,,,,40.60233229,-105.8427286,"Chambers Complex","Chambers Reservoir","Outflow","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,1108,,,2021,,,"ROSS"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2021-10-08,,,,,,5.22,0.21,7.28,458.66,47.75,1.85,0.06,0.75,1.03,5.44,0.04,0.64,0.27,0,2,,,,40.61988,-105.81937,"Chambers Complex","CLP Mainstem - Upper","Mainstem",,,,80.916,,,1192,,,2021,,,"ROSS"
"PJW","Poudre Above Joe Wright",2021-10-08,2.6,2.92,,,,4.99,0.3,7.16,341.42,43.78,1.38,0.04,0.58,0.91,4.45,0.06,0.4,0.63,0,4.93,,,,40.634114,-105.807264,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem",,,,80.916,,,1193,,,2021,,,"ROSS"
"PBR","Poudre Below Rustic",2021-10-08,,,,,,6.01,0.28,7.54,547.39,56.18,2.05,0.03,0.82,1.08,5.8,0.04,0.81,0.34,0,4,,,,40.700221,-105.544028,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem","FCGOV","Fort Collins",,47.262,,,1195,,,2021,,,"ROSS"
"SFM","Poudre South Fork",2021-10-08,,,,,,6.51,0.29,7.26,454.81,43.97,2.21,0.04,0.61,0.9,3.8,0.04,0.51,0.3,0,1.73,,,,40.61825,-105.525583,"South Fork","CLP Mainstem - Upper","Mainstem","ROSS","Larimer County","11531",53.476,,,1196,,,2021,,,"ROSS"
"PSF","Poudre Below S. Fork",2021-10-08,,,,,,6.34,0.21,7.58,360.67,43.05,2.31,0.03,0.93,0.89,3.67,0.07,1.41,0.35,0,3.9,,,,40.694953,-105.448748,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem",,,,33.951,,,1197,,,2021,,,"ROSS"
"PNF","Poudre Above North Fork",2021-10-08,,,,,,3.51,0.52,7.61,514.88,57.4,2.44,0.03,0.84,1.52,4.55,0.11,1.21,0.22,0,4.56,,,,40.702459,-105.241588,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem","FCGOV",,,7.471,,,1199,,,2021,,,"ROSS"
"LNGR","Long Draw Reservoir",2021-10-13,12,2.83,2.18,,,4.31,0.27,6.98,290.69,44.06,1.22,0.02,0.61,0.82,4.93,0.26,0.23,0.21,0,7.66,,,,40.50087627,-105.7725307,"Longdraw","Long Draw Reservoir","Reservoir",,,,100.445,0,0,1164,,,2021,,,"ROSS"
"LNGO","Long Draw Outflow",2021-10-13,14,12.96,1.05,,,3.41,0.2,7.01,329.23,46.64,1.74,0.09,0.77,0.99,5.27,0.22,0.35,0.15,0,6.41,,,,40.50368571,-105.7709459,"Longdraw","Long Draw Reservoir","Outflow",,"CDWR","LAPLODCO",98.705,0,0,1165,,,2021,,,"ROSS"
"PTRO","Peterson Outflow",2021-10-13,9.5,9.33,2.35,,,3.96,0.3,7.07,285.02,37.69,2.47,0.03,1.31,0.44,3.22,0.04,1.33,0.26,0,3.42,,,,40.56063874,-105.7929021,"Longdraw","Peterson Reservoir","Outflow",,"Greeley",,91.236,0.3055062638172439,0.32090379008746356,1166,,,2021,,,"ROSS"
"PTRR","Peterson Reservoir",2021-10-13,11,5.58,1.53,,,5.41,0.47,6.89,192.31,39.53,1.73,0.12,1.31,0.51,3.51,0.04,1.08,0.13,0,7.82,,,,40.55936515,-105.7940034,"Longdraw","Peterson Reservoir","Reservoir",,,,91.236,0.3055062638172439,0.32090379008746356,1167,,,2021,,,"ROSS"
"JOEI","Joe Wright Inlet",2021-10-13,1.3,5.58,0.29,,,3.77,0.15,7.27,549.03,67.64,2.41,0.01,0.65,1.32,6.56,0.12,1.37,0.56,0,7.54,,,,40.54013102,-105.8831698,"Chambers Complex","Joe Wright Reservoir","Inflow","ROSS","USGS","6746095",95.264,0,0.006530548628428928,1168,,,2021,,,"ROSS"
"JOER","Joe Wright Reservoir",2021-10-13,4.5,12.68,2.78,,,3.23,0.15,7.18,394.35,51.46,1.5,0.01,0.63,1.44,6.59,0.09,0.57,0.01,0,3.87,,,,40.55593744,-105.8749619,"Chambers Complex","Joe Wright Reservoir","Reservoir",,,,93.218,0.048734263332836585,0.006530548628428928,1169,,,2021,,,"ROSS"
"CBRI","Chambers Inlet",2021-10-13,3.9,5.5,1.58,,,3.96,0.18,7.22,471.8,60.74,2.29,0.03,0.85,1.47,7.59,0.08,1.1,0.06,0,3.37,,,,40.57795281,-105.8572773,"Chambers Complex","Chambers Reservoir","Inflow","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,1170,,,2021,,,"ROSS"
"BMD","Barnes Meadow Outflow",2021-10-13,10.5,22.18,1.97,,,5.98,0.57,7.2,372.75,62.07,2.54,0.21,1.29,1.07,5.75,0.05,1.8,0,0,10.81,,,,40.600376,-105.836378,"Chambers Complex","Barnes Meadow Reservoir","Outflow",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,1171,,,2021,,,"ROSS"
"BRNR","Barnes Meadow Reservoir",2021-10-13,5,4.3,4.6,,,7.09,0.34,7.24,476.04,74.96,2.61,0.03,1.27,1.09,8.05,0.07,1.87,0.01,0,10.62,,,,40.599908,-105.830604,"Chambers Complex","Barnes Meadow Reservoir","Reservoir",,,,85.149,0.4490768485927012,0.1845300397739167,1172,,,2021,,,"ROSS"
"CBRR","Chambers Reservoir",2021-10-13,35.8,269.02,1.61,,,4.99,0.18,7.23,425.54,43.81,1.65,0.01,0.82,0.93,3.95,0.08,0.68,0.02,0,3.85,,,,40.603457,-105.845931,"Chambers Complex","Chambers Reservoir","Reservoir",,,"na",87.814,0.19135067209931075,0.3299053356282272,1174,,,2021,,,"ROSS"
"CHD","Chambers Outflow",2021-10-13,6.9,10,2.23,,,3.87,0.18,7.2,414.3,44.97,1.74,0.04,0.82,0.87,4.23,0.1,0.82,0.02,0,3.87,,,,40.60233229,-105.8427286,"Chambers Complex","Chambers Reservoir","Outflow","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,1175,,,2021,,,"ROSS"
"JOEI","Joe Wright Inlet",2021-10-26,1.5,3.44,0.28,,,4.14,0.24,7.12,582.73,64.39,2.24,0.01,0.65,1.07,4.95,0.18,0.92,0.68,0,9.47,,,,40.54013102,-105.8831698,"Chambers Complex","Joe Wright Reservoir","Inflow","ROSS","USGS","6746095",95.264,0,0.006530548628428928,1207,,,2021,,,"ROSS"
"JOER","Joe Wright Reservoir",2021-10-26,4,109.63,2.24,,,4.01,0.14,6.99,423.31,50.32,1.52,0.01,0.69,1.42,6.27,0.15,0.56,0.05,0,3.93,,,,40.55593744,-105.8749619,"Chambers Complex","Joe Wright Reservoir","Reservoir",,,,93.218,0.048734263332836585,0.006530548628428928,1209,,,2021,,,"ROSS"
"CBRI","Chambers Inlet",2021-10-26,3.5,23.06,1.22,,,4.67,0.2,7.24,541.29,60.19,2.3,0.01,0.93,1.38,6.18,0.08,1.06,0.3,0,3.66,,,,40.57795281,-105.8572773,"Chambers Complex","Chambers Reservoir","Inflow","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,1210,,,2021,,,"ROSS"
"BMD","Barnes Meadow Outflow",2021-10-26,15,2.02,1.01,,,7.46,0.38,6.99,518.47,66.97,2.57,0.03,1.36,0.84,5.38,0.07,1.79,0.15,0,11.25,,,,40.600376,-105.836378,"Chambers Complex","Barnes Meadow Reservoir","Outflow",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,1211,,,2021,,,"ROSS"
"BRNR","Barnes Meadow Reservoir",2021-10-26,4,4,3.34,,,7.58,0.34,7.08,523.99,71.34,2.55,0.02,1.35,0.85,6.45,0.05,1.77,0.01,0,11.03,,,,40.599908,-105.830604,"Chambers Complex","Barnes Meadow Reservoir","Reservoir",,,,85.149,0.4490768485927012,0.1845300397739167,1212,,,2021,,,"ROSS"
"CBRR","Chambers Reservoir",2021-10-26,5.5,1.82,2.08,,,4.33,0.18,7.15,459.11,44.74,1.69,0.01,0.9,0.71,3.65,0.08,0.76,0.09,0,4.08,,,,40.603457,-105.845931,"Chambers Complex","Chambers Reservoir","Reservoir",,,"na",87.814,0.19135067209931075,0.3299053356282272,1213,,,2021,,,"ROSS"
"CHD","Chambers Outflow",2021-10-26,3.5,1.82,2.41,,,4.49,0.2,7.19,468.46,46.51,1.74,0.01,0.92,0.73,3.73,0.07,0.75,0.09,0,4.12,,,,40.60233229,-105.8427286,"Chambers Complex","Chambers Reservoir","Outflow","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,1214,,,2021,,,"ROSS"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2021-11-05,,,,,,3.76,0.2,7.25,467.04,47.29,1.94,0.05,0.9,0.74,3.69,0.07,1.04,0.15,0,4.25,,,,40.61988,-105.81937,"Chambers Complex","CLP Mainstem - Upper","Mainstem",,,,80.916,,,1241,,,2021,,,"ROSS"
"PJW","Poudre Above Joe Wright",2021-11-05,,2.89,,,,2.82,0.47,7.45,273.76,35.64,2.1,0.02,0.64,0.61,2.6,0.05,0.83,1.24,0,3.69,,,,40.634114,-105.807264,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem",,,,80.916,,,1242,,,2021,,,"ROSS"
